760,申,have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac
761,真,true; reality; Buddhist sect
762,神,gods; mind; soul
763,親,parent; intimacy; relative; familiarity; dealer (cards)
764,身,somebody; person; one's station in life
765,進,advance; proceed; progress; promote
766,人,person
767,場,location; place
768,初,first time; beginning
769,所,place
770,書,write
771,助,help; rescue; assist
772,女,woman; female
773,勝,victory; win; prevail; excel
774,商,make a deal; selling; dealing in; merchant
775,小,little; small
776,少,few; little
777,松,pine tree
778,消,extinguish; blow out; turn off; neutralize; cancel
779,渉,ford; ferry; port
780,証,evidence; proof; certificate
781,象,elephant; pattern after; imitate; image; shape; sign (of the times)
782,賞,prize; reward; praise
783,上,above; up
784,乗,ride; power; multiplication; record; counter for vehicles; board; mount; join
785,準,semi-; correspond to; proportionate to; conform; imitate
786,出,exit; leave
787,術,art; technique; skill; means; trick; resources; magic
788,述,mention; state; speak; relate
789,衆,masses; great numbers; multitude; populace
790,集,gather; meet; congregate; swarm; flock
791,住,dwell; reside; live; inhabit
792,十,ten
793,重,heavy; heap up; pile up; nest of boxes; -fold
794,首,neck; counter for songs and poems
795,受,accept; undergo; answer (phone); take; get; catch; receive
796,収,income; obtain; reap; pay; supply; store
797,州,state; province
798,終,end; finish
799,手,hand
800,種,species; kind; class; variety; seed
801,守,guard; protect; defend; obey
802,取,take; fetch; take up
803,主,lord; chief; master; main thing; principal
804,若,young; if; perhaps; possibly; low number; immature
805,社,company; firm; office; association; shrine
806,者,someone; person
807,車,car
808,写,copy; be photographed; describe
809,自,oneself
810,式,style; ceremony; rite; function; method; system; form; expression
811,識,discriminating; know; write
812,七,seven
813,失,lose; error; fault; disadvantage; loss
814,質,substance; quality; matter; temperament
815,実,reality; truth
816,示,show; indicate; point out; express; display
817,視,inspection; regard as; see; look at
818,試,test; try; attempt; experiment; ordeal
819,資,assets; resources; capital; funds; data; be conducive to; contribute to
820,事,matter; thing; fact; business; reason; possibly
821,字,character; letter; word; section of village
822,持,hold; have
823,時,time; hour
824,次,next; order; sequence
825,治,reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve
826,思,think
827,指,finger; point to; indicate; put into; play (chess); measure (ruler)
828,支,branch; support; sustain; branch radical (no. 65)
829,施,alms; apply bandages; administer first-aid
830,止,stop; halt
831,死,death; die
832,氏,family name; surname; clan
833,私,private; I; me
834,四,four
835,始,commence; begin
836,姿,figure; form; shape
837,子,child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac
838,市,market; city; town
839,三,three
840,参,nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love
841,山,mountain
842,産,products; bear; give birth; yield; childbirth; native; property
843,算,calculate; divining; number; abacus; probability
844,残,remainder; leftover; balance
845,仕,attend; doing; official; serve
846,使,use
847,察,guess; presume; surmise; judge; understand
848,策,scheme; plan; policy; step; means
849,裁,tailor; judge; decision; cut out (pattern)
850,際,occasion; side; edge; verge; dangerous; adventurous; indecent; time; when
851,在,exist; outskirts; suburbs; located in
852,財,property; money; wealth; assets
853,作,make; production; prepare; build
854,昨,yesterday; previous
855,差,distinction; difference; variation; discrepancy; margin; balance
856,査,investigate
857,再,again; twice; second time
858,最,utmost; most; extreme
859,歳,year-end; age; occasion; opportunity
860,済,finish; come to an end; excusable; need not
861,行,going; journey
862,高,tall; high; expensive
863,合,fit; suit; join; 0.1
864,告,revelation; tell; inform; announce
865,国,country
866,今,now
867,佐,assistant; help
868,校,exam; school; printing; proof; correction
869,構,posture; build; pretend
870,港,harbor
871,考,consider; think over
872,公,public; prince; official; governmental
873,口,mouth
874,向,yonder; facing; beyond; confront; defy; tend toward; approach
875,好,fond; pleasing; like something
876,工,craft; construction; katakana e radical (no. 48)
877,広,wide; broad; spacious
878,後,behind; back; later
879,語,word; speech; language
880,護,safeguard; protect
881,交,mingle; mixing; association; coming & going
882,五,five
